Vivado Simulator 2020.2
Time resolution is 1 ps
[GEN] write: 1, addr: 00e, wdata: 00, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 00, rdata:xx
[MON] write: 1, addr: 00e, wdata: 00, rdata:00
[SCB] write: 1, addr: 00e, wdata: 00, rdata:00
[GEN] write: 1, addr: 00d, wdata: 49, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 49, rdata:xx
[MON] write: 1, addr: 00d, wdata: 49, rdata:49
[SCB] write: 1, addr: 00d, wdata: 49, rdata:49
[GEN] write: 1, addr: 011, wdata: 25, rdata:xx
[DRV] write: 1, addr: 011, wdata: 25, rdata:xx
[MON] write: 1, addr: 011, wdata: 25, rdata:25
[SCB] write: 1, addr: 011, wdata: 25, rdata:25
[GEN] write: 1, addr: 012, wdata: 40, rdata:xx
[DRV] write: 1, addr: 012, wdata: 40, rdata:xx
[MON] write: 1, addr: 012, wdata: 40, rdata:40
[SCB] write: 1, addr: 012, wdata: 40, rdata:40
[GEN] write: 1, addr: 013, wdata: 08, rdata:xx
[DRV] write: 1, addr: 013, wdata: 08, rdata:xx
[MON] write: 1, addr: 013, wdata: 08, rdata:08
[SCB] write: 1, addr: 013, wdata: 08, rdata:08
[GEN] write: 1, addr: 010, wdata: 33, rdata:xx
[DRV] write: 1, addr: 010, wdata: 33, rdata:xx
[MON] write: 1, addr: 010, wdata: 33, rdata:33
[SCB] write: 1, addr: 010, wdata: 33, rdata:33
[GEN] write: 1, addr: 00e, wdata: 10, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 10, rdata:xx
[MON] write: 1, addr: 00e, wdata: 10, rdata:10
[SCB] write: 1, addr: 00e, wdata: 10, rdata:10
[GEN] write: 1, addr: 00c, wdata: 62, rdata:xx
[DRV] write: 1, addr: 00c, wdata: 62, rdata:xx
[MON] write: 1, addr: 00c, wdata: 62, rdata:62
[SCB] write: 1, addr: 00c, wdata: 62, rdata:62
